,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,Male,57,1,8.0,0,1-2 Year,Yes,36092.0,26.0,277,1
1,Male,35,1,29.0,0,1-2 Year,Yes,33630.0,157.0,15,1
2,Female,45,1,35.0,0,> 2 Years,Yes,31843.0,101.0,12,1
3,Female,29,1,13.0,0,< 1 Year,Yes,29463.0,152.0,206,1
4,Male,23,1,37.0,0,< 1 Year,Yes,37887.0,152.0,238,1
5,Female,38,1,28.0,0,1-2 Year,Yes,36427.0,154.0,295,1
6,Female,28,1,28.0,0,< 1 Year,Yes,65632.0,26.0,284,1
7,Male,49,1,46.0,0,1-2 Year,Yes,2630.0,157.0,219,1
8,Male,30,1,29.0,0,1-2 Year,Yes,2630.0,156.0,29,1
9,Male,55,1,28.0,0,> 2 Years,Yes,32181.0,122.0,181,1
10,Male,39,1,28.0,0,> 2 Years,Yes,48710.0,55.0,157,1
11,Male,58,1,28.0,0,> 2 Years,Yes,47441.0,124.0,163,1
12,Female,31,1,41.0,0,< 1 Year,Yes,24005.0,121.0,30,1
13,Female,24,1,37.0,0,< 1 Year,Yes,25201.0,152.0,50,1
14,Male,46,1,28.0,0,1-2 Year,Yes,40868.0,26.0,292,1
15,Male,46,1,8.0,0,1-2 Year,Yes,38970.0,155.0,248,1
16,Male,39,1,28.0,0,1-2 Year,Yes,2630.0,124.0,115,1
17,Female,66,1,28.0,0,1-2 Year,Yes,61862.0,122.0,120,1
18,Male,33,1,28.0,0,1-2 Year,Yes,37207.0,124.0,85,1
19,Female,74,1,28.0,0,> 2 Years,Yes,2630.0,25.0,24,1
20,Female,65,1,28.0,0,> 2 Years,Yes,54789.0,24.0,267,1
21,Male,42,1,31.0,0,1-2 Year,Yes,2630.0,26.0,88,1
22,Female,21,1,46.0,0,< 1 Year,Yes,25636.0,160.0,163,1
23,Female,72,1,8.0,0,1-2 Year,Yes,28048.0,124.0,93,1
24,Male,26,1,10.0,0,< 1 Year,Yes,2630.0,152.0,171,1
25,Female,35,1,46.0,0,1-2 Year,Yes,2630.0,157.0,57,1
26,Male,47,1,28.0,0,> 2 Years,Yes,42432.0,26.0,298,1
27,Male,41,1,8.0,0,1-2 Year,Yes,49458.0,124.0,227,1
28,Female,22,1,35.0,0,< 1 Year,Yes,21421.0,160.0,286,1
29,Female,53,1,29.0,0,1-2 Year,Yes,42759.0,124.0,34,1
30,Female,56,1,8.0,0,1-2 Year,Yes,46245.0,26.0,27,1
31,Female,37,1,28.0,0,1-2 Year,Yes,71087.0,122.0,268,1
32,Female,34,1,41.0,0,1-2 Year,Yes,25170.0,152.0,184,1
33,Male,44,1,33.0,0,1-2 Year,Yes,24299.0,124.0,205,1
34,Male,36,1,28.0,0,1-2 Year,Yes,2630.0,157.0,73,1
35,Male,41,1,28.0,0,1-2 Year,Yes,35099.0,124.0,129,1
36,Female,33,1,37.0,0,< 1 Year,Yes,32652.0,124.0,19,1
37,Male,29,1,14.0,0,1-2 Year,No,23946.0,157.0,233,1
38,Female,43,1,36.0,0,1-2 Year,Yes,2630.0,154.0,56,1
39,Male,51,1,19.0,0,> 2 Years,Yes,37189.0,26.0,202,1
40,Female,22,1,28.0,0,< 1 Year,No,24542.0,152.0,134,1
41,Male,57,1,28.0,0,1-2 Year,Yes,32883.0,124.0,223,1
42,Male,79,1,46.0,0,> 2 Years,Yes,37760.0,26.0,138,1
43,Female,48,1,33.0,0,> 2 Years,Yes,32480.0,124.0,260,1
44,Male,21,1,46.0,0,< 1 Year,Yes,24084.0,160.0,232,1
45,Female,41,1,28.0,0,1-2 Year,Yes,30602.0,26.0,131,1
46,Male,43,1,29.0,0,> 2 Years,Yes,38997.0,163.0,210,1
47,Male,24,1,41.0,0,< 1 Year,Yes,25034.0,152.0,87,1
48,Male,66,1,50.0,0,> 2 Years,Yes,37047.0,122.0,32,1
49,Male,60,1,28.0,0,1-2 Year,Yes,36532.0,13.0,190,1
50,Male,46,1,28.0,0,1-2 Year,Yes,46216.0,124.0,149,1
51,Male,67,1,19.0,0,1-2 Year,Yes,26019.0,26.0,48,1
52,Male,46,1,32.0,0,1-2 Year,Yes,2630.0,156.0,88,1
53,Male,58,1,8.0,0,1-2 Year,Yes,50497.0,26.0,90,1
54,Female,43,1,3.0,0,1-2 Year,Yes,22879.0,124.0,152,1
55,Male,34,1,20.0,0,1-2 Year,Yes,2630.0,124.0,182,1
56,Female,50,1,28.0,0,1-2 Year,Yes,35802.0,124.0,256,1
57,Female,47,1,9.0,0,> 2 Years,Yes,45280.0,124.0,217,1
58,Male,39,1,46.0,0,1-2 Year,Yes,22122.0,124.0,132,1
59,Male,28,1,46.0,1,< 1 Year,Yes,32205.0,160.0,36,1
60,Female,35,1,28.0,0,1-2 Year,Yes,42986.0,31.0,249,1
61,Male,35,1,13.0,0,1-2 Year,Yes,34146.0,163.0,136,1
62,Male,35,1,28.0,0,1-2 Year,Yes,2630.0,26.0,243,1
63,Male,56,1,26.0,0,1-2 Year,Yes,25054.0,120.0,200,1
64,Male,23,1,41.0,0,< 1 Year,Yes,38292.0,152.0,131,1
65,Female,55,1,28.0,0,1-2 Year,Yes,38817.0,26.0,25,1
66,Male,24,1,8.0,0,< 1 Year,Yes,33002.0,152.0,252,1
67,Male,50,1,29.0,0,1-2 Year,Yes,2630.0,26.0,79,1
68,Female,31,1,17.0,0,1-2 Year,Yes,33100.0,124.0,193,1
69,Male,47,1,28.0,0,1-2 Year,Yes,39522.0,124.0,253,1
70,Female,63,1,28.0,0,> 2 Years,Yes,59855.0,26.0,147,1
71,Male,35,1,29.0,0,1-2 Year,Yes,2630.0,124.0,116,1
72,Female,21,1,45.0,0,< 1 Year,Yes,25024.0,160.0,223,1
73,Male,40,1,18.0,0,1-2 Year,Yes,2630.0,124.0,277,1
74,Male,63,1,28.0,0,1-2 Year,Yes,27921.0,124.0,208,1
75,Male,52,1,28.0,0,1-2 Year,Yes,26455.0,26.0,247,1
76,Male,43,1,50.0,0,1-2 Year,Yes,42365.0,124.0,291,1
77,Male,62,1,20.0,0,> 2 Years,Yes,2630.0,26.0,207,1
78,Female,43,1,28.0,0,1-2 Year,Yes,63798.0,26.0,149,1
79,Female,68,1,27.0,0,1-2 Year,Yes,2630.0,124.0,282,1
80,Male,43,1,28.0,0,> 2 Years,Yes,57501.0,122.0,209,1
81,Male,56,1,28.0,0,1-2 Year,Yes,27302.0,124.0,11,1
82,Female,54,1,46.0,0,1-2 Year,Yes,29900.0,26.0,211,1
83,Male,35,1,28.0,0,1-2 Year,Yes,49662.0,154.0,249,1
84,Female,33,1,12.0,0,< 1 Year,Yes,24809.0,26.0,281,1
85,Male,42,1,11.0,0,1-2 Year,Yes,2630.0,26.0,214,1
86,Male,34,1,33.0,0,1-2 Year,Yes,2630.0,157.0,102,1
87,Male,29,1,18.0,0,< 1 Year,Yes,41042.0,152.0,174,1
88,Male,59,1,41.0,0,1-2 Year,Yes,2630.0,157.0,237,1
89,Male,40,1,37.0,0,1-2 Year,Yes,31296.0,61.0,240,1
90,Female,41,1,46.0,0,1-2 Year,Yes,2630.0,26.0,113,1
91,Male,57,1,28.0,0,1-2 Year,Yes,38952.0,26.0,255,1
92,Male,31,1,35.0,0,1-2 Year,No,41938.0,156.0,80,1
93,Male,38,1,41.0,0,1-2 Year,Yes,31866.0,157.0,164,1
94,Female,30,1,6.0,0,< 1 Year,Yes,22990.0,152.0,164,1
95,Male,24,1,41.0,0,< 1 Year,Yes,24651.0,152.0,285,1
96,Female,28,1,6.0,0,1-2 Year,Yes,2630.0,163.0,45,1
97,Female,47,1,28.0,0,1-2 Year,Yes,39867.0,124.0,200,1
98,Male,23,1,47.0,0,< 1 Year,Yes,28519.0,152.0,112,1
99,Female,37,1,28.0,0,1-2 Year,Yes,2630.0,125.0,111,1
100,Male,29,1,30.0,0,1-2 Year,Yes,26282.0,26.0,231,1
101,Female,35,1,41.0,0,1-2 Year,Yes,33012.0,124.0,145,1
102,Male,32,1,8.0,0,1-2 Year,Yes,2630.0,26.0,124,1
103,Male,38,1,28.0,0,1-2 Year,Yes,49483.0,124.0,257,1
104,Male,21,1,6.0,0,< 1 Year,Yes,32280.0,156.0,38,1
105,Male,45,1,8.0,0,1-2 Year,Yes,33837.0,124.0,222,1
106,Male,45,1,8.0,0,1-2 Year,Yes,43605.0,124.0,172,1
107,Male,42,1,28.0,0,1-2 Year,Yes,26077.0,26.0,250,1
108,Female,23,1,41.0,0,< 1 Year,Yes,21570.0,152.0,11,1
109,Female,46,1,28.0,0,1-2 Year,Yes,38891.0,122.0,273,1
110,Female,42,1,28.0,0,1-2 Year,Yes,47929.0,26.0,212,1
111,Male,57,1,28.0,0,1-2 Year,Yes,42253.0,26.0,60,1
112,Male,31,1,8.0,0,< 1 Year,Yes,28453.0,26.0,38,1
113,Female,33,1,28.0,0,< 1 Year,Yes,29951.0,124.0,284,1
114,Female,40,1,28.0,0,1-2 Year,Yes,43657.0,124.0,244,1
115,Male,67,1,28.0,0,> 2 Years,Yes,65606.0,26.0,204,1
116,Female,59,1,28.0,0,1-2 Year,Yes,40492.0,25.0,282,1
117,Male,34,1,2.0,0,1-2 Year,Yes,32570.0,26.0,187,1
118,Female,47,1,28.0,0,> 2 Years,Yes,31301.0,122.0,235,1
119,Female,61,1,8.0,0,1-2 Year,Yes,47362.0,124.0,154,1
120,Male,34,1,28.0,0,1-2 Year,Yes,29024.0,122.0,116,1
121,Male,24,1,30.0,0,< 1 Year,Yes,26606.0,152.0,248,1
122,Female,39,1,28.0,0,1-2 Year,Yes,33541.0,26.0,118,1
123,Female,37,1,28.0,0,1-2 Year,Yes,49689.0,122.0,70,1
124,Male,45,1,28.0,0,1-2 Year,Yes,54005.0,26.0,110,1
125,Male,35,1,48.0,0,1-2 Year,Yes,2630.0,124.0,151,1
126,Male,22,1,27.0,0,< 1 Year,Yes,2630.0,152.0,27,1
127,Female,31,1,30.0,0,< 1 Year,Yes,31849.0,152.0,142,1
128,Female,61,1,8.0,0,1-2 Year,Yes,38165.0,26.0,49,1
129,Male,31,1,3.0,0,< 1 Year,Yes,26046.0,156.0,206,1
130,Female,50,1,26.0,0,1-2 Year,Yes,29713.0,13.0,158,1
131,Male,48,1,30.0,0,> 2 Years,Yes,26494.0,109.0,251,1
132,Male,51,1,28.0,0,1-2 Year,Yes,49754.0,26.0,291,1
133,Female,42,1,28.0,0,1-2 Year,Yes,35079.0,124.0,60,1
134,Male,68,1,28.0,0,> 2 Years,Yes,41935.0,122.0,122,1
135,Male,50,1,28.0,0,1-2 Year,Yes,40950.0,152.0,112,1
136,Male,45,1,6.0,0,1-2 Year,Yes,27746.0,26.0,41,1
137,Male,31,1,14.0,0,< 1 Year,Yes,2630.0,26.0,177,1
138,Male,52,1,28.0,0,> 2 Years,Yes,64494.0,26.0,118,1
139,Male,51,1,8.0,0,1-2 Year,Yes,2630.0,26.0,228,1
140,Female,29,1,3.0,0,1-2 Year,Yes,2630.0,124.0,204,1
141,Male,44,1,28.0,0,> 2 Years,Yes,33410.0,124.0,126,1
142,Female,50,1,28.0,0,1-2 Year,Yes,47890.0,26.0,208,1
143,Male,44,1,31.0,0,1-2 Year,Yes,2630.0,98.0,44,1
144,Male,55,1,18.0,0,1-2 Year,Yes,2630.0,124.0,150,1
145,Male,40,1,28.0,0,1-2 Year,Yes,43886.0,124.0,118,1
146,Male,48,1,9.0,0,1-2 Year,Yes,36861.0,25.0,149,1
147,Male,44,1,39.0,0,1-2 Year,Yes,46631.0,26.0,251,1
148,Male,44,1,6.0,0,1-2 Year,No,31721.0,124.0,83,1
149,Male,52,1,48.0,0,1-2 Year,Yes,2630.0,124.0,102,1
150,Female,35,1,36.0,0,1-2 Year,Yes,27882.0,154.0,275,1
151,Male,37,1,28.0,0,1-2 Year,Yes,47842.0,26.0,110,1
152,Male,42,1,13.0,0,1-2 Year,Yes,49189.0,124.0,90,1
153,Male,31,1,28.0,0,1-2 Year,Yes,36581.0,124.0,82,1
154,Male,68,1,28.0,0,1-2 Year,Yes,2630.0,158.0,179,1
155,Male,43,1,12.0,0,1-2 Year,Yes,21576.0,124.0,145,1
156,Male,55,1,33.0,0,1-2 Year,Yes,36709.0,26.0,218,1
157,Male,34,1,28.0,0,1-2 Year,Yes,41204.0,122.0,91,1
158,Female,47,1,33.0,0,1-2 Year,Yes,2630.0,156.0,101,1
159,Female,34,1,28.0,0,1-2 Year,Yes,38882.0,122.0,136,1
160,Male,31,1,28.0,0,1-2 Year,Yes,30638.0,157.0,276,1
161,Female,32,1,28.0,0,< 1 Year,Yes,26898.0,152.0,241,1
162,Male,62,1,39.0,0,1-2 Year,Yes,45745.0,26.0,122,1
163,Male,43,1,29.0,0,1-2 Year,Yes,48110.0,124.0,221,1
164,Male,22,1,34.0,0,< 1 Year,Yes,32495.0,152.0,25,1
165,Female,23,1,28.0,0,< 1 Year,Yes,2630.0,152.0,26,1
166,Male,40,1,40.0,0,1-2 Year,Yes,34050.0,155.0,134,1
167,Male,42,1,28.0,0,1-2 Year,Yes,38844.0,26.0,157,1
168,Male,45,1,28.0,0,1-2 Year,Yes,56211.0,124.0,16,1
169,Female,54,1,3.0,0,1-2 Year,Yes,36861.0,26.0,266,1
170,Female,38,1,28.0,0,1-2 Year,Yes,27955.0,154.0,89,1
171,Female,47,1,28.0,0,1-2 Year,Yes,41778.0,26.0,59,1
172,Male,49,1,28.0,0,1-2 Year,Yes,33432.0,24.0,126,1
173,Male,56,0,2.0,0,1-2 Year,Yes,32158.0,26.0,145,1
174,Female,47,1,35.0,0,1-2 Year,Yes,21812.0,124.0,61,1
175,Female,49,1,28.0,0,1-2 Year,Yes,23319.0,163.0,286,1
176,Male,46,1,28.0,0,1-2 Year,Yes,37057.0,26.0,117,1
177,Female,41,1,28.0,0,1-2 Year,Yes,31552.0,26.0,102,1
178,Female,44,1,28.0,0,1-2 Year,Yes,48838.0,29.0,255,1
179,Male,32,1,28.0,0,< 1 Year,Yes,47215.0,124.0,285,1
180,Male,33,1,28.0,0,> 2 Years,Yes,26994.0,124.0,181,1
181,Male,33,1,41.0,0,< 1 Year,Yes,24809.0,12.0,286,1
182,Male,41,1,48.0,0,1-2 Year,Yes,2630.0,156.0,102,1
183,Male,43,1,8.0,0,1-2 Year,Yes,36855.0,26.0,40,1
184,Male,61,1,28.0,0,> 2 Years,Yes,51821.0,26.0,62,1
185,Male,29,1,28.0,0,< 1 Year,Yes,48697.0,26.0,217,1
186,Male,24,1,4.0,0,< 1 Year,Yes,28659.0,152.0,252,1
187,Male,52,1,28.0,0,1-2 Year,Yes,46796.0,26.0,194,1
188,Male,44,1,28.0,0,1-2 Year,Yes,46901.0,26.0,12,1
189,Female,28,1,28.0,0,< 1 Year,Yes,25143.0,26.0,298,1
190,Male,48,1,10.0,0,1-2 Year,Yes,2630.0,26.0,14,1
191,Female,23,1,32.0,0,< 1 Year,Yes,31732.0,151.0,268,1
192,Male,42,1,8.0,0,1-2 Year,Yes,2630.0,124.0,162,1
193,Female,40,1,46.0,0,< 1 Year,Yes,26135.0,26.0,265,1
194,Male,27,1,28.0,0,< 1 Year,Yes,41056.0,152.0,151,1
195,Female,64,1,28.0,0,1-2 Year,Yes,26997.0,124.0,94,1
196,Male,23,1,32.0,0,< 1 Year,Yes,29050.0,151.0,154,1
197,Female,23,1,15.0,0,< 1 Year,Yes,2630.0,160.0,159,1
198,Male,36,1,35.0,0,1-2 Year,No,41729.0,124.0,106,1
199,Male,37,1,50.0,0,1-2 Year,Yes,38571.0,8.0,147,1
200,Female,48,1,28.0,0,> 2 Years,Yes,49627.0,26.0,191,1
201,Male,24,1,36.0,0,< 1 Year,Yes,29264.0,152.0,16,1
202,Male,69,1,28.0,0,1-2 Year,Yes,31630.0,26.0,290,1
203,Male,40,1,28.0,0,1-2 Year,Yes,22512.0,124.0,274,1
204,Male,39,1,1.0,0,1-2 Year,Yes,2630.0,156.0,132,1
205,Male,68,1,28.0,0,> 2 Years,Yes,34283.0,26.0,210,1
206,Female,33,1,33.0,0,1-2 Year,Yes,27925.0,154.0,78,1
207,Male,66,1,30.0,0,1-2 Year,Yes,29502.0,26.0,137,1
208,Male,31,1,28.0,0,< 1 Year,Yes,32744.0,124.0,159,1
209,Male,28,1,37.0,0,< 1 Year,Yes,45008.0,152.0,189,1
210,Male,42,1,28.0,0,1-2 Year,Yes,38350.0,156.0,65,1
211,Male,59,1,28.0,0,> 2 Years,Yes,47488.0,26.0,248,1
212,Male,61,1,29.0,0,> 2 Years,Yes,2630.0,26.0,80,1
213,Male,47,1,28.0,0,1-2 Year,Yes,34934.0,124.0,89,1
214,Female,49,1,29.0,0,> 2 Years,Yes,37503.0,26.0,70,1
215,Female,34,1,28.0,0,> 2 Years,Yes,38302.0,124.0,69,1
216,Male,51,1,13.0,0,1-2 Year,Yes,33142.0,152.0,179,1
217,Female,50,1,28.0,0,1-2 Year,Yes,42285.0,122.0,89,1
218,Female,72,1,24.0,0,> 2 Years,Yes,35288.0,145.0,65,1
219,Male,44,1,38.0,0,1-2 Year,Yes,28349.0,124.0,57,1
220,Female,42,1,41.0,0,1-2 Year,Yes,35871.0,26.0,104,1
221,Male,53,1,41.0,0,1-2 Year,Yes,33613.0,124.0,190,1
222,Male,43,1,28.0,0,1-2 Year,Yes,39872.0,26.0,223,1
223,Male,64,1,45.0,0,1-2 Year,Yes,35708.0,124.0,220,1
224,Male,52,1,28.0,0,1-2 Year,Yes,23041.0,26.0,298,1
225,Male,52,1,48.0,0,> 2 Years,Yes,2630.0,26.0,183,1
226,Male,59,1,48.0,0,1-2 Year,Yes,2630.0,124.0,115,1
227,Female,62,1,28.0,0,1-2 Year,Yes,54871.0,26.0,99,1
228,Female,37,1,28.0,0,1-2 Year,Yes,37258.0,124.0,14,1
229,Female,21,1,11.0,0,< 1 Year,Yes,35555.0,152.0,242,1
230,Female,44,1,28.0,0,1-2 Year,Yes,51716.0,124.0,189,1
231,Male,49,1,28.0,0,1-2 Year,Yes,48359.0,124.0,296,1
232,Male,46,1,28.0,0,1-2 Year,Yes,49018.0,26.0,298,1
233,Male,46,1,46.0,0,1-2 Year,Yes,2630.0,26.0,72,1
234,Male,23,1,10.0,0,< 1 Year,Yes,31482.0,152.0,171,1
235,Female,39,1,28.0,0,1-2 Year,Yes,40839.0,125.0,152,1
236,Male,63,1,28.0,0,1-2 Year,Yes,42427.0,26.0,129,1
237,Female,56,1,0.0,0,1-2 Year,Yes,2630.0,94.0,18,1
238,Male,39,1,46.0,0,1-2 Year,Yes,2630.0,163.0,224,1
239,Female,66,1,0.0,0,1-2 Year,Yes,2630.0,26.0,155,1
240,Male,50,1,28.0,0,1-2 Year,Yes,45944.0,26.0,32,1
241,Male,57,1,6.0,0,> 2 Years,Yes,31900.0,26.0,33,1
242,Female,71,1,28.0,0,1-2 Year,Yes,23959.0,154.0,44,1
243,Male,23,1,13.0,0,< 1 Year,Yes,2630.0,154.0,139,1
244,Male,42,1,28.0,0,1-2 Year,Yes,33747.0,124.0,259,1
245,Female,39,1,28.0,0,1-2 Year,Yes,39641.0,122.0,177,1
246,Female,27,1,28.0,0,1-2 Year,Yes,38098.0,122.0,67,1
247,Male,49,1,28.0,0,1-2 Year,Yes,46339.0,124.0,289,1
248,Female,38,1,45.0,0,1-2 Year,Yes,29570.0,4.0,161,1
249,Female,38,1,36.0,0,1-2 Year,Yes,2630.0,124.0,155,1
