,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,Male,53,1,28.0,0,1-2 Year,Yes,42920.0,26.0,194,0
1,Male,39,1,46.0,1,1-2 Year,Yes,30846.0,26.0,214,0
2,Male,23,1,12.0,1,< 1 Year,No,25624.0,152.0,36,0
3,Male,70,1,45.0,0,1-2 Year,Yes,42565.0,124.0,16,0
4,Female,55,1,28.0,0,1-2 Year,Yes,44968.0,26.0,159,0
5,Male,35,1,25.0,1,1-2 Year,No,21726.0,152.0,280,0
6,Male,32,1,28.0,0,< 1 Year,Yes,47215.0,124.0,285,1
7,Male,35,1,46.0,0,1-2 Year,Yes,23912.0,124.0,21,1
8,Male,21,1,41.0,0,1-2 Year,Yes,2630.0,156.0,40,0
9,Male,23,1,37.0,0,< 1 Year,No,27635.0,152.0,53,0
10,Female,22,1,43.0,0,< 1 Year,No,70570.0,152.0,212,0
11,Male,22,1,24.0,1,< 1 Year,No,31462.0,152.0,260,0
12,Male,67,1,26.0,1,1-2 Year,No,25283.0,22.0,138,0
13,Female,25,1,15.0,1,< 1 Year,Yes,35378.0,152.0,115,0
14,Male,44,1,28.0,0,1-2 Year,Yes,49606.0,26.0,110,1
15,Male,31,1,41.0,0,< 1 Year,Yes,20844.0,152.0,183,1
16,Female,47,1,8.0,0,1-2 Year,Yes,29332.0,124.0,142,0
17,Male,54,1,3.0,0,1-2 Year,Yes,27917.0,157.0,18,0
18,Male,23,1,46.0,1,< 1 Year,No,25300.0,26.0,56,0
19,Female,27,1,28.0,1,< 1 Year,Yes,2630.0,160.0,99,0
20,Male,56,1,11.0,0,1-2 Year,Yes,26894.0,26.0,195,1
21,Female,43,1,28.0,0,1-2 Year,Yes,31377.0,124.0,178,0
22,Male,64,1,28.0,0,1-2 Year,Yes,32508.0,26.0,69,0
23,Female,38,1,28.0,0,1-2 Year,Yes,2630.0,156.0,218,0
24,Female,44,1,28.0,0,1-2 Year,Yes,37497.0,26.0,263,0
25,Male,47,1,46.0,1,1-2 Year,No,25124.0,124.0,178,0
26,Female,45,1,41.0,1,1-2 Year,No,37169.0,26.0,272,0
27,Female,24,1,6.0,0,< 1 Year,No,28262.0,152.0,144,0
28,Male,31,1,28.0,1,< 1 Year,No,41688.0,152.0,296,0
29,Male,21,1,3.0,1,< 1 Year,No,24550.0,160.0,58,0
30,Female,21,1,33.0,1,< 1 Year,No,2630.0,152.0,32,0
31,Female,24,1,25.0,0,< 1 Year,Yes,35156.0,152.0,246,0
32,Male,23,1,36.0,0,< 1 Year,No,26193.0,152.0,288,0
33,Female,43,1,28.0,0,1-2 Year,Yes,50512.0,124.0,295,0
34,Female,23,1,27.0,0,< 1 Year,No,34602.0,152.0,24,0
35,Male,65,1,8.0,0,1-2 Year,Yes,43887.0,26.0,159,0
36,Female,23,1,3.0,0,< 1 Year,Yes,2630.0,157.0,186,0
37,Female,34,1,28.0,0,1-2 Year,Yes,29730.0,156.0,197,0
38,Female,22,1,8.0,1,< 1 Year,Yes,40903.0,152.0,33,0
39,Male,80,1,33.0,0,> 2 Years,Yes,2630.0,156.0,77,0
40,Male,23,1,37.0,1,< 1 Year,No,35296.0,151.0,62,0
41,Male,77,1,46.0,1,1-2 Year,No,28898.0,26.0,243,0
42,Male,35,1,46.0,0,1-2 Year,Yes,36770.0,124.0,188,1
43,Male,41,1,29.0,0,1-2 Year,Yes,32151.0,124.0,143,1
44,Female,25,1,25.0,0,< 1 Year,Yes,21518.0,152.0,40,0
45,Female,26,1,20.0,0,< 1 Year,Yes,2630.0,152.0,64,0
46,Female,38,1,48.0,1,1-2 Year,No,2630.0,15.0,159,0
47,Male,21,1,46.0,1,< 1 Year,No,50117.0,152.0,275,0
48,Male,21,1,41.0,1,< 1 Year,No,41883.0,152.0,294,0
49,Female,46,1,28.0,0,1-2 Year,Yes,37866.0,26.0,68,0
50,Female,76,1,45.0,0,> 2 Years,Yes,33055.0,26.0,269,0
51,Male,24,1,3.0,1,< 1 Year,No,24068.0,152.0,291,0
52,Male,61,1,28.0,0,> 2 Years,Yes,2630.0,124.0,70,0
53,Female,62,1,18.0,1,1-2 Year,No,28993.0,131.0,261,0
54,Male,73,1,28.0,1,1-2 Year,No,59229.0,122.0,97,0
55,Female,43,1,28.0,0,1-2 Year,Yes,2630.0,124.0,269,1
56,Female,44,1,48.0,0,1-2 Year,Yes,2630.0,15.0,110,0
57,Male,45,1,28.0,0,1-2 Year,Yes,56681.0,122.0,64,1
58,Female,70,1,28.0,0,1-2 Year,Yes,30496.0,26.0,110,0
59,Male,21,1,46.0,0,< 1 Year,Yes,28699.0,160.0,177,0
60,Female,23,1,32.0,0,< 1 Year,No,26839.0,152.0,21,0
61,Male,31,1,23.0,0,< 1 Year,Yes,26182.0,26.0,208,1
62,Female,32,1,39.0,0,1-2 Year,Yes,2630.0,156.0,137,1
63,Female,46,1,46.0,0,1-2 Year,Yes,31816.0,26.0,290,0
64,Male,43,1,41.0,0,1-2 Year,Yes,40670.0,156.0,130,0
65,Female,34,1,29.0,1,1-2 Year,No,2630.0,124.0,24,0
66,Female,24,1,50.0,1,< 1 Year,No,43342.0,152.0,150,0
67,Female,53,1,40.0,0,> 2 Years,Yes,35718.0,124.0,45,0
68,Male,54,1,28.0,0,1-2 Year,Yes,49353.0,26.0,183,0
69,Female,22,1,3.0,1,< 1 Year,No,28297.0,152.0,279,0
70,Female,47,1,28.0,0,1-2 Year,Yes,30026.0,124.0,223,1
71,Male,31,1,28.0,1,< 1 Year,No,45400.0,152.0,10,0
72,Male,23,1,46.0,0,< 1 Year,Yes,25446.0,151.0,126,0
73,Female,40,1,28.0,1,1-2 Year,No,60069.0,26.0,87,0
74,Female,20,1,3.0,1,< 1 Year,No,2630.0,160.0,81,0
