threshold,precision,recall,f1,accuracy
0.0,0.12,1.0,0.22,0.12
0.05,0.25,0.94,0.4,0.65
0.1,0.27,0.91,0.41,0.68
0.15,0.29,0.84,0.43,0.73
0.2,0.29,0.76,0.42,0.74
0.25,0.3,0.72,0.42,0.76
0.3,0.32,0.37,0.35,0.83
0.35,0.32,0.14,0.2,0.86
0.4,0.25,0.03,0.05,0.87
0.45,0.0,0.0,0.0,0.88
0.5,0.0,0.0,0.0,0.88
0.55,0.0,0.0,0.0,0.88
0.6,0.0,0.0,0.0,0.88
0.65,0.0,0.0,0.0,0.88
0.7,0.0,0.0,0.0,0.88
0.75,0.0,0.0,0.0,0.88
0.8,0.0,0.0,0.0,0.88
0.85,0.0,0.0,0.0,0.88
0.9,0.0,0.0,0.0,0.88
0.95,0.0,0.0,0.0,0.88
1.0,0.0,0.0,0.0,0.88
