threshold,precision,recall,f1,accuracy
0.0,0.12,1.0,0.22,0.12
0.05,0.13,0.93,0.22,0.2
0.1,0.14,0.68,0.23,0.43
0.15,0.15,0.37,0.22,0.67
0.2,0.19,0.17,0.18,0.81
0.25,0.25,0.06,0.1,0.86
0.3,0.21,0.01,0.03,0.87
0.35,0.14,0.0,0.0,0.88
0.4,0.0,0.0,0.0,0.88
0.45,0.0,0.0,0.0,0.88
0.5,0.0,0.0,0.0,0.88
0.55,0.0,0.0,0.0,0.88
0.6,0.0,0.0,0.0,0.88
0.65,0.0,0.0,0.0,0.88
0.7,0.0,0.0,0.0,0.88
0.75,0.0,0.0,0.0,0.88
0.8,0.0,0.0,0.0,0.88
0.85,0.0,0.0,0.0,0.88
0.9,0.0,0.0,0.0,0.88
0.95,0.0,0.0,0.0,0.88
1.0,0.0,0.0,0.0,0.88
