threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.61,1.0,0.76,0.68
0.1,0.67,1.0,0.8,0.75
0.15,0.67,1.0,0.8,0.75
0.2,0.68,0.99,0.8,0.76
0.25,0.69,0.98,0.81,0.77
0.3,0.7,0.98,0.82,0.78
0.35,0.71,0.97,0.82,0.79
0.4,0.71,0.97,0.82,0.79
0.45,0.71,0.97,0.82,0.79
0.5,0.71,0.97,0.82,0.79
0.55,0.72,0.93,0.81,0.78
0.6,0.74,0.83,0.78,0.77
0.65,0.75,0.73,0.74,0.74
0.7,0.77,0.44,0.56,0.65
0.75,0.74,0.15,0.25,0.55
0.8,0.76,0.07,0.13,0.52
0.85,0.87,0.01,0.01,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
