threshold,precision,recall,f1,accuracy
0.0,0.12,1.0,0.22,0.12
0.05,0.24,0.98,0.38,0.61
0.1,0.26,0.97,0.4,0.65
0.15,0.27,0.89,0.42,0.7
0.2,0.3,0.79,0.44,0.75
0.25,0.31,0.69,0.43,0.77
0.3,0.33,0.41,0.36,0.82
0.35,0.28,0.08,0.13,0.86
0.4,0.0,0.0,0.0,0.88
0.45,0.0,0.0,0.0,0.88
0.5,0.0,0.0,0.0,0.88
0.55,0.0,0.0,0.0,0.88
0.6,0.0,0.0,0.0,0.88
0.65,0.0,0.0,0.0,0.88
0.7,0.0,0.0,0.0,0.88
0.75,0.0,0.0,0.0,0.88
0.8,0.0,0.0,0.0,0.88
0.85,0.0,0.0,0.0,0.88
0.9,0.0,0.0,0.0,0.88
0.95,0.0,0.0,0.0,0.88
1.0,0.0,0.0,0.0,0.88
